Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Ad Schedule,Ad rotation
CSSI - Alarme Antiefractie,Search,Paused,5.00,Daily,Maximize conversions,Google search,ro,Monday 07:00-20:00; Tuesday 07:00-20:00; Wednesday 07:00-20:00; Thursday 07:00-20:00; Friday 07:00-20:00; Saturday 08:00-14:00,Optimize
CSSI - Instalatii Electrice,Search,Paused,5.00,Daily,Maximize conversions,Google search,ro,Monday 07:00-20:00; Tuesday 07:00-20:00; Wednesday 07:00-20:00; Thursday 07:00-20:00; Friday 07:00-20:00; Saturday 08:00-14:00,Optimize
CSSI - Aer Conditionat,Search,Paused,4.00,Daily,Maximize conversions,Google search,ro,Monday 07:00-20:00; Tuesday 07:00-20:00; Wednesday 07:00-20:00; Thursday 07:00-20:00; Friday 07:00-20:00; Saturday 08:00-14:00,Optimize
