Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Ad Schedule,Ad rotation
CSSI - Control Acces + Pontaj,Search,Paused,7.00,Daily,Maximize conversions,Google search,ro,Monday 07:00-20:00; Tuesday 07:00-20:00; Wednesday 07:00-20:00; Thursday 07:00-20:00; Friday 07:00-20:00; Saturday 08:00-14:00,Optimize
CSSI - Camere Supraveghere B2B,Search,Paused,6.00,Daily,Maximize conversions,Google search,ro,Monday 07:00-20:00; Tuesday 07:00-20:00; Wednesday 07:00-20:00; Thursday 07:00-20:00; Friday 07:00-20:00; Saturday 08:00-14:00,Optimize
CSSI - Automatizari Porti + Bariere,Search,Paused,4.00,Daily,Maximize conversions,Google search,ro,Monday 07:00-20:00; Tuesday 07:00-20:00; Wednesday 07:00-20:00; Thursday 07:00-20:00; Friday 07:00-20:00; Saturday 08:00-14:00,Optimize
